Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla
2019-03-19 00:00:00+00:00,44.7804184,88.09249878,59.79565048,111.5873871,17.83133316,46.63249969,88.09249878,59.94250107,117.6500015,17.83133316,47.24750137,89.20800018,60,118.4400024,18.21999931,46.47999954,87.67549896,59.29349899,116.9899979,17.56399918,47.08750153,87.67549896,59.44049835,118.0899963,17.83333206,126585600,127284000,30414000,37588700,177009000
2019-03-20 00:00:00+00:00,45.17173386,89.8635025,61.04857635,111.4640732,18.23999977,47.04000092,89.8635025,61.19850159,117.5199966,18.23999977,47.37250137,89.97499847,61.35699844,118.75,18.33133316,46.18249893,88.35150146,59.80849838,116.7099991,17.75333214,46.55749893,88.49700165,59.86750031,117.3899994,17.97933388,124140800,125312000,44548000,28113300,103623000
2019-03-21 00:00:00+00:00,46.83541107,90.96299744,61.42614746,114.0249176,18.26799965,48.77249908,90.96299744,61.57699966,120.2200012,18.26799965,49.08250046,91.1875,61.58950043,120.8199997,18.43000031,47.45249939,89.36399841,60.65750122,117.0899963,17.89666748,47.50500107,89.81300354,60.79999924,117.1399994,18.17333221,204136800,115356000,24080000,29854400,89206500
2019-03-22 00:00:00+00:00,45.86553574,88.2385025,60.12734222,111.0183029,17.63533211,47.76250076,88.2385025,60.27500153,117.0500031,17.63533211,49.42250061,90.9489975,61.5,119.5899963,18.18666649,47.69499969,88.15550232,60.14125061,117.0400009,17.60000038,48.83499908,90.50849915,61.31600189,119.5,18.17200089,169630800,127260000,34284000,33624500,131184000
2019-03-25 00:00:00+00:00,45.31098175,88.71299744,59.50387192,111.5968628,17.36133385,47.18500137,88.71299744,59.65000153,117.6600037,17.36133385,47.99499893,89.13400269,60.31990051,118.0100021,17.54533386,46.65000153,87.375,59.35200119,116.3199997,16.9640007,47.87749863,87.88950348,59.8465004,116.5599976,17.31399918,175381200,102076000,29936000,27067100,153225000
2019-03-26 00:00:00+00:00,44.84283447,89.18800354,59.08589554,111.8339615,17.85133362,46.69749832,89.18800354,59.23099899,117.9100037,17.85133362,48.22000122,90.28849792,60.14149857,118.7099991,18.01733208,46.14500046,88.66799927,58.83599854,116.8499985,17.62866783,47.91500092,89.65000153,59.92649841,118.6200027,17.6293335,199202000,97318000,38024000,26097700,110263500
2019-03-27 00:00:00+00:00,45.24614716,88.28500366,58.50731659,110.7527161,18.3220005,47.11750031,88.28500366,58.65100098,116.7699966,18.3220005,47.43999863,89.375,59.37794876,118.2099991,18.3579998,46.63750076,87.28399658,57.96849823,115.5199966,17.87866783,47.1875,89.20649719,59.27500153,117.8799973,17.91666794,119393600,86496000,28004000,22733400,131688000
2019-03-28 00:00:00+00:00,45.30616379,88.67099762,58.28136826,110.9044647,18.57466698,47.18000031,88.67099762,58.42449951,116.9300003,18.57466698,47.38999939,88.89649963,58.57825089,117.5800018,18.6886673,46.88249969,87.67350006,57.97154999,116.1299973,18.34000015,47.23749924,88.5,58.57699966,117.4400024,18.47733307,83121600,60860000,19234000,18334800,101611500
2019-03-29 00:00:00+00:00,45.6014595,89.03749847,58.52177811,111.862442,18.65733337,47.48749924,89.03749847,58.66550064,117.9400024,18.65733337,47.52000046,89.64299774,58.94950104,118.3199997,18.67733383,47.13499832,88.83149719,58.14400101,116.9599991,18.29999924,47.45750046,89.32900238,58.74499893,118.0699997,18.57999992,94256000,66416000,25398000,25399800,89869500
2019-04-01 00:00:00+00:00,45.91114807,90.70950317,59.5751915,112.8867722,19.27866745,47.81000137,90.70950317,59.7215004,119.0199966,19.27866745,47.91999817,90.78350067,59.83300018,119.1100006,19.28000069,47.09500122,89.93650055,59.09999847,118.0999985,18.75200081,47.90999985,90.00550079,59.20500183,118.9499969,18.84133339,111448000,84776000,25050000,22789100,121656000
2019-04-02 00:00:00+00:00,46.57854462,90.6989975,59.87745285,113.0480347,19.05866623,48.50500107,90.6989975,60.0245018,119.1900024,19.05866623,48.61500168,91,60.06750107,119.4800034,19.29599953,47.76250076,90.2559967,59.28549957,118.5199966,18.92533302,47.77249908,90.5510025,59.76599884,119.0599976,19.21999931,91062800,68962000,16558000,18142300,82183500
2019-04-03 00:00:00+00:00,46.89784241,91.03500366,60.14828491,113.7878113,19.45400047,48.83750153,91.03500366,60.29600143,119.9700012,19.45400047,49.125,91.5,60.81499863,120.4300003,19.74466705,48.28749847,90.48100281,60.02500153,119.1500015,19.14466667,48.3125,91.33599854,60.37400055,119.8600006,19.1546669,93087200,78522000,20286000,22860700,118791000
2019-04-04 00:00:00+00:00,46.97946548,90.94300079,60.6011734,113.2092438,17.85199928,48.92250061,90.94300079,60.75,119.3600006,17.85199928,49.09249878,91.4375,60.78350067,120.2300034,18.07999992,48.28499985,90.20999908,60.20650101,118.3799973,17.37266731,48.69749832,91.03250122,60.29700089,120.0999985,17.45933342,76457200,72478000,19000000,20112800,355810500
2019-04-05 00:00:00+00:00,47.29395294,91.86399841,60.20963287,113.711937,18.3306675,49.25,91.86399841,60.35749817,119.8899994,18.3306675,49.27500153,91.92900085,60.81100082,120.2300034,18.40666771,48.98249817,91.2594986,60.25149918,119.3700027,17.74066734,49.11249924,91.44999695,60.74950027,119.3899994,17.99066734,74106400,72810000,18144000,15826200,195574500
2019-04-08 00:00:00+00:00,48.0381813,92.49299622,60.04454041,113.7498779,18.21333313,50.02500153,92.49299622,60.19200134,119.9300003,18.21333313,50.05749893,92.51000214,60.43450165,120.0199966,18.74399948,49.08499908,91.25550079,59.99300003,118.6399994,18.02933311,49.10499954,91.66149902,60.39450073,119.8099976,18.5126667,103526800,75056000,17204000,15116200,156156000
2019-04-09 00:00:00+00:00,47.89413071,91.79199982,59.71584702,113.1333694,18.15399933,49.875,91.79199982,59.86249924,119.2799988,18.15399933,50.71250153,92.65450287,60.11449814,119.5400009,18.33333206,49.80749893,91.58899689,59.65399933,118.5800018,17.97400093,50.08000183,92.27449799,59.79999924,118.6299973,18.11000061,143072800,74288000,17528000,17612000,88560000
2019-04-10 00:00:00+00:00,48.16300583,92.36650085,59.96074677,113.9964752,18.40399933,50.15499878,92.36650085,60.10800171,120.1900024,18.40399933,50.18500137,92.40000153,60.18925095,120.3499985,18.55866623,49.54499817,91.44049835,59.82175064,119.5400009,18.19266701,49.66999817,92.05000305,60.0340004,119.7600021,18.44933319,86781200,59280000,14492000,16477200,105919500
2019-04-11 00:00:00+00:00,47.76209641,92.20349884,60.0834465,114.1292725,17.89466667,49.73749924,92.20349884,60.23099899,120.3300018,17.89466667,50.25,92.49749756,60.39799881,120.8499985,18.03333282,49.61000061,92.01550293,60.00650024,119.9199982,17.70666695,50.21250153,92.43499756,60.19800186,120.5400009,17.88666725,83603200,53096000,14204000,14209100,147538500
